batch,phrase,forecast_queries,traffic_volume,avg_bid_rub,charged_amount_rub,ctr_percent,impressions,clicks,budget_rub,region,period,platforms,currency,captured_at,source
1,поворотный кронштейн для телевизора,10558,5,98.20,12.40,0.69,2772,19,235.60,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,потолочное крепление для телевизора,252,100,237.30,18.70,7.92,240,19,355.30,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,потолочное крепление для телевизора,252,85,71.90,11.60,7.56,238,18,208.80,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,потолочное крепление для телевизора,252,62,54.40,11.40,7.23,235,17,193.80,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,потолочное крепление для телевизора,252,9,76.40,6.40,1.37,146,2,12.80,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,потолочное крепление для телевизора,252,5,65.80,6.00,1.39,144,2,12.00,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,потолочный кронштейн для телевизора,1719,100,308.50,29.70,8.31,1481,123,3653.10,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,потолочный кронштейн для телевизора,1719,85,123.50,21.20,7.71,1466,113,2395.60,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,потолочный кронштейн для телевизора,1719,62,88.10,18.80,7.34,1457,107,2011.60,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,потолочный кронштейн для телевизора,1719,9,97.80,12.20,1.08,834,9,109.80,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,потолочный кронштейн для телевизора,1719,5,88.70,11.50,1.08,830,9,103.50,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,сколько стоит повесить телевизор на стену,382,100,233.40,27.70,17.81,393,70,1939.00,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,сколько стоит повесить телевизор на стену,382,85,86.70,19.40,16.80,387,65,1261.00,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,сколько стоит повесить телевизор на стену,382,62,53.60,15.10,15.49,381,59,890.90,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,сколько стоит повесить телевизор на стену,382,9,103.30,15.40,1.16,345,4,61.60,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,сколько стоит повесить телевизор на стену,382,5,100.00,15.10,1.17,343,4,60.40,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,телевизор 55 диагональ размеры,2344,100,110.90,18.10,3.13,1694,53,959.30,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,телевизор 55 диагональ размеры,2344,85,67.40,14.30,3.01,1662,50,715.00,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,телевизор 55 диагональ размеры,2344,62,53.70,12.70,2.92,1644,48,609.60,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,телевизор 55 диагональ размеры,2344,9,73.20,9.00,0.31,1297,4,36.00,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,телевизор 55 диагональ размеры,2344,5,70.20,8.70,0.31,1294,4,34.80,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,фиксированный кронштейн для телевизора,831,100,352.60,28.40,8.84,645,57,1618.80,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
